curve_level_data,,,,,,,,,,,,,,
plant_id,treatment,id,leaf_temp,Tleaf_mean,Tleaf_sd,Tleaf_min,Tleaf_max,Tk,obs_vcmax,obs_jmax,obs_Vcmax25,obs_Jmax25,n_Aci_points,Tleaf_range
100D,30,100D_15,15,20.409148,0.174851923,20.24060714,20.82465667,293.559148,33.01583772,76.1539613,55.60278107,95.83998447,96,0.584049524
100D,30,100D_20,20,23.76927288,0.275898525,23.50444074,24.40566333,296.9192729,50.9113843,98.12079745,58.45411578,104.0122053,96,0.901222593
100D,30,100D_25,25,26.52659042,0.029265655,26.49271786,26.59655,299.6765904,62.8395265,112.8751524,53.02657945,105.5260857,96,0.103832143
100D,30,100D_30,30,29.88500596,0.170457212,29.66469286,30.18484643,303.035006,85.63304734,133.2916366,50.03740357,110.7255367,96,0.520153571
100D,30,100D_35,35,33.10604031,0.147091979,32.91035556,33.38215714,306.2560403,110.1530209,129.6381522,45.58900149,102.7005861,96,0.471801587
101D,30,101D_15,15,25.40310694,0.059411104,25.32950769,25.58081538,298.5531069,150.7008881,208.1676489,144.0692053,204.3773287,96,0.251307692
101D,30,101D_20,20,26.96307993,0.11837598,26.79766923,27.24136154,300.1130799,172.4537145,230.7829684,138.6715308,211.9106864,96,0.443692308
101D,30,101D_25,25,29.43341309,0.171396513,29.239725,29.88083077,302.5834131,201.9792078,247.6306179,123.9411792,208.3365263,96,0.641105769
101D,30,101D_30,30,31.17534162,0.183054708,30.98197692,31.65416154,304.3253416,225.2970963,257.4825595,114.5573662,207.7744085,96,0.672184615
101D,30,101D_35,35,32.8759236,0.098560923,32.75574615,33.10987692,306.0259236,265.5904994,281.3777668,112.6348725,222.9902669,96,0.354130769
101D,30,101D_40,40,35.69521346,0.175432794,35.4482125,36.15572308,308.8452135,330.4343172,306.4492467,104.185695,252.1354779,96,0.707510577
102D,30,102D_15,15,21.01462614,0.125238508,20.87203704,21.26803548,294.1646261,61.59458478,120.6127296,96.75116421,147.0158967,96,0.395998447
102D,30,102D_20,20,24.25736043,0.054048137,24.18464643,24.34331667,297.4073604,87.37013399,146.4506626,94.95298381,151.6393883,96,0.158670238
102D,30,102D_25,25,27.22750102,0.053534641,27.10634194,27.31449286,300.377501,112.4078735,173.6003822,87.79145423,157.7264539,96,0.208150922
102D,30,102D_30,30,29.87654517,0.031293949,29.83018571,29.94402143,303.0265452,162.571523,217.1259368,95.08138338,180.4077073,96,0.113835714
102D,30,102D_35,35,32.44264673,0.05765098,32.36985185,32.62256429,305.5926467,200.8066409,240.8696598,89.17307259,191.2912693,96,0.252712434
102D,30,102D_40,40,35.27174417,0.170781403,35.07787037,35.66739643,308.4217442,243.4695239,264.7681502,80.23322462,215.2586747,96,0.589526058
103D,30,103D_15,15,22.99209706,0.523969651,22.19242308,23.93585625,296.1420971,94.65948921,158.7219222,118.661539,174.8176446,97,1.743433173
103D,30,103D_20,20,25.14661192,0.166454676,24.95643077,25.46143846,298.2966119,131.2479758,196.6586843,129.1153923,195.3399035,97,0.505007692
103D,30,103D_25,25,27.61221224,0.093944194,27.50822308,27.79372667,300.7622122,154.6365589,220.6998062,115.7681958,197.5465395,97,0.28550359
