plant_id,n_points,growth_period (days),Rack,Airtemp,airtemp_factor,Nfert,a,b,c,Topt
100D,5,35,down,30,Medium,0,0.822040405,0.250593305,-0.003867684,32.39578084
101D,6,35,down,30,Medium,35,4.034716126,0.063334459,-0.000449006,70.52735058
102D,6,35,down,30,Medium,70,2.722680482,0.121824942,-0.001144563,53.21895651
103D,6,35,down,30,Medium,105,1.300084112,0.248946946,-0.003655975,34.04659133
104D,6,35,down,30,Medium,140,3.181199966,0.120213442,-0.001403466,42.827353
105D,6,35,down,30,Medium,210,7.642363802,-0.224827367,0.004753901,23.64661929
106D,6,35,down,30,Medium,280,3.123309345,0.117413248,-0.001695611,34.62270528
107D,3,35,down,30,Medium,350,9.898325504,-0.356970399,0.006350936,28.10376204
108D,6,35,down,30,Medium,630,3.191229899,0.083774899,-0.000604987,69.23690652
11D,3,25,top,37,High,35,2.319199196,0.1387651,-0.001618026,42.88097693
13D,5,25,top,37,High,105,0.093499982,0.311244057,-0.004317119,36.04765661
14D,5,25,top,37,High,140,-6.192576249,0.74291181,-0.011682354,31.79632284
15D,4,25,top,37,High,210,4.519228213,0.028208046,-0.000111334,126.6820979
16D,5,25,top,37,High,280,2.168108624,0.169585598,-0.002085224,40.66364432
17D,5,25,top,37,High,350,4.268285922,-0.012557744,0.001754763,3.578187819
18D,5,25,top,37,High,630,1.730192075,0.152614611,-0.001652792,46.16872397
1D,6,25,top,37,High,0,2.456677317,0.102083551,-0.00081389,62.7133516
21D,4,25,down,37,High,70,1.160436131,0.242645537,-0.003397839,35.70585648
22D,6,25,down,37,High,105,3.361999627,0.076737475,-0.000258464,148.4488336
23D,5,25,down,37,High,140,5.117942823,-0.091304151,0.002894042,15.77450587
24D,4,25,down,37,High,210,6.707913997,-0.212884201,0.005037611,21.12947824
25D,4,25,down,37,High,280,1.214486739,0.241455283,-0.003432405,35.17289844
26D,5,25,down,37,High,350,0.056509234,0.271432556,-0.003397688,39.94371697
28D,4,25,down,37,High,0,7.104157507,-0.240186865,0.005540936,21.67385278
30D,4,25,down,37,High,70,4.454499276,0.003748545,0.000738374,-2.538378438
31D,6,25,down,37,High,105,3.58257886,0.087844371,-0.000836471,52.50890063
32D,6,25,down,37,High,140,3.543565503,0.082446644,-0.00059017,69.84989846
33D,6,25,down,37,High,210,0.223320667,0.296096288,-0.004068735,36.38677539
34D,3,25,down,37,High,280,3.654536615,0.053006568,-0.000273974,96.73660025
35D,6,25,down,37,High,350,0.693714412,0.263661903,-0.003614917,36.4685986
36D,6,25,down,37,High,630,3.556346067,0.070813426,-0.000231156,153.1723398
37D,6,48,top,23,Low,0,2.843232437,0.131833493,-0.001568954,42.01318551
38D,6,48,top,23,Low,35,3.169676093,0.121923806,-0.001333061,45.73076376
39D,4,48,top,23,Low,70,2.253127689,0.202878492,-0.002693057,37.66695694
3D,5,25,top,37,High,70,6.473400957,-0.139974992,0.003498677,20.00398887
40D,6,48,top,23,Low,105,3.445174684,0.11732899,-0.001604817,36.55526387
41D,6,48,top,23,Low,140,4.598286014,0.028705805,-0.000265839,53.99093324
42D,6,48,top,23,Low,210,2.881365893,0.108739681,-0.001608862,33.79397021
43D,3,48,top,23,Low,280,3.365471133,0.117926571,-0.001952033,30.20609352
44D,6,48,top,23,Low,350,5.049915858,0.007696858,-6.99124E-06,550.4644779
45D,6,48,top,23,Low,630,4.153648577,0.056776238,-0.000817183,34.73899589
46D,6,48,top,23,Low,0,2.231832672,0.171449904,-0.002258099,37.96333125
47D,5,48,top,23,Low,35,3.877635351,0.062455026,-0.00044081,70.84121473
49D,6,48,top,23,Low,105,3.608971531,0.102332758,-0.001191849,42.93026322
4D,5,25,top,37,High,105,2.959995498,0.099907256,-0.000865017,57.74875169
50D,6,48,top,23,Low,140,2.935045984,0.155343954,-0.002251167,34.50298956
51D,6,48,top,23,Low,210,3.86243913,0.096112837,-0.001190145,40.37861152
52D,6,48,top,23,Low,280,4.042610367,0.069469575,-0.000731445,47.48787606
53D,5,48,top,23,Low,350,7.332747987,-0.131344633,0.002608688,25.17446259
54D,6,48,top,23,Low,630,3.947391204,0.0735777,-0.000852561,43.15098637
55D,6,48,down,35,Low,0,2.688994851,0.133985258,-0.001766445,37.92511788
56D,5,48,down,23,Low,35,2.040442557,0.208595361,-0.003198091,32.6124844
57D,6,48,down,23,Low,70,2.299672083,0.18103085,-0.002553917,35.44180601
58D,6,48,down,23,Low,105,3.816730063,0.071087106,-0.000754973,47.07921119
5D,6,25,top,37,High,140,3.18960602,0.082457065,-0.000397434,103.7368274
60D,6,48,down,23,Low,210,3.444105682,0.119820742,-0.001595264,37.55515342
63D,6,48,down,23,Low,630,3.743799533,0.081449134,-0.001059991,38.41971595
64D,5,48,down,23,Low,0,3.264082677,0.084760003,-0.000780855,54.27383868
65D,6,48,down,23,Low,35,2.587525409,0.159058665,-0.001974874,40.27058712
67D,5,48,down,23,Low,105,3.839468269,0.073910552,-0.000708616,52.15132789
68D,5,48,down,23,Low,140,-1.455767427,0.477981265,-0.00759094,31.48366897
69D,6,48,down,23,Low,210,3.056580753,0.165029857,-0.002310622,35.71113088
6D,6,25,down,37,High,210,5.16409016,-0.059407938,0.002183913,13.60125846
70D,4,48,down,23,Low,280,15.13061855,-0.59192849,0.009166364,32.28807466
71D,5,48,down,23,Low,350,3.161407023,0.148499754,-0.001917202,38.72824433
72D,6,48,down,23,Low,630,3.904379906,0.095825316,-0.001214974,39.43514446
73D,4,35,top,30,Medium,0,1.236603064,0.212747781,-0.003053137,34.84085564
74D,6,35,top,30,Medium,35,2.705702233,0.124703805,-0.001431853,43.5462893
75D,6,35,top,30,Medium,70,2.949092853,0.120814145,-0.001366241,44.21407465
76D,6,35,top,30,Medium,105,2.965013008,0.130315419,-0.001635531,39.8388832
77D,5,35,top,30,Medium,140,4.677726288,0.018262152,0.000453111,-20.15195662
78D,6,35,top,30,Medium,210,2.277281736,0.166638495,-0.002027714,41.09022672
79D,5,35,top,30,Medium,280,2.41411452,0.171015621,-0.002008413,42.57481769
80D,6,35,top,30,Medium,350,0.374338108,0.316689126,-0.004618644,34.28377789
81D,6,35,top,30,Medium,630,2.784168681,0.128426197,-0.001549159,41.45029831
82D,6,35,top,30,Medium,0,3.475464814,0.065544988,-0.000398592,82.22056192
83D,6,35,top,30,Medium,35,4.223930673,0.050371047,-0.000308907,81.53095646
84D,4,35,top,30,Medium,70,3.288279195,0.130849073,-0.001548434,42.25206291
86D,6,35,top,30,Medium,140,3.02687078,0.102134546,-0.000840234,60.7774158
87D,6,35,top,30,Medium,210,4.53291379,0.025469807,0.000115524,-110.2357542
88D,4,35,top,30,Medium,280,1.255591523,0.238578435,-0.003655111,32.6362783
89D,5,35,top,30,Medium,350,5.617856854,-0.046345347,0.00101827,22.75690773
90D,7,35,top,30,Medium,630,3.768355441,0.078887927,-0.001010911,39.01823077
91D,3,35,down,30,Medium,0,2.523482456,0.116406244,-0.001280475,45.45433617
92D,6,35,down,30,Medium,35,3.706682265,0.069466613,-0.000434099,80.01248769
93D,6,35,down,30,Medium,70,3.82977381,-0.000230964,0.001353513,0.085320259
95D,6,35,down,30,Medium,140,6.413280042,-0.096946653,0.001867476,25.95660078
97D,3,35,down,30,Medium,280,5.381117508,-0.062876849,0.001640328,19.16593536
98D,6,35,down,30,Medium,350,1.397020674,0.266467478,-0.004557354,29.23489152
99D,6,35,down,30,Medium,630,4.20596393,0.040755256,-5.73163E-05,355.5292397
