vcmax_tempresp_fits,,,,,,,,,,
plant_id,n_points,growth_period (days),Rack,Airtemp,airtemp_factor,Nfert,a,b,c,Topt
100D,5,35,down,30,Medium,0,0.19511143,0.205220223,-0.00209376,49.00758215
101D,6,35,down,30,Medium,35,3.912048206,0.02148407,0.000880552,-12.1992072
102D,6,35,down,30,Medium,70,1.127000771,0.167434308,-0.001217527,68.76001146
103D,6,35,down,30,Medium,105,-0.326857626,0.305513292,-0.004004128,38.14978793
104D,6,35,down,30,Medium,140,1.348753296,0.178719111,-0.001617413,55.24846038
105D,6,35,down,30,Medium,210,8.063168813,-0.320563928,0.007282686,22.00863211
106D,6,35,down,30,Medium,280,0.120376753,0.264883474,-0.00334613,39.58057494
107D,3,35,down,30,Medium,350,39.29068214,-2.406249453,0.041917864,28.70195678
108D,6,35,down,30,Medium,630,-0.63151855,0.286236337,-0.003179916,45.0069088
11D,3,25,top,37,High,35,-0.423557914,0.25980471,-0.002731805,47.55183899
13D,5,25,top,37,High,105,1.253298554,0.16115663,-0.000862829,93.38852085
14D,5,25,top,37,High,140,-6.108941236,0.681559284,-0.009974507,34.16506238
15D,4,25,top,37,High,210,4.09600738,0.002410535,0.00120337,-1.001576828
16D,5,25,top,37,High,280,2.705426206,0.091003472,-0.00020058,226.8507224
17D,5,25,top,37,High,350,1.188767319,0.157220853,-0.000658497,119.3786335
18D,5,25,top,37,High,630,-5.027930052,0.556826922,-0.007606781,36.60069377
1D,6,25,top,37,High,0,0.244626872,0.197980907,-0.001652904,59.88879744
21D,4,25,down,37,High,70,-4.536635628,0.629823431,-0.01013967,31.05739388
22D,6,25,down,37,High,105,2.702535489,0.06847312,0.000514985,-66.48071693
23D,5,25,down,37,High,140,4.539458584,-0.10412596,0.003858238,13.49397709
24D,4,25,down,37,High,210,3.984450298,-0.084572273,0.003823794,11.05868484
25D,4,25,down,37,High,280,0.177454271,0.263313048,-0.003034777,43.38260691
26D,5,25,down,37,High,350,0.230627803,0.199588564,-0.001417704,70.39149059
28D,4,25,down,37,High,0,2.656891687,0.018564096,0.001671107,-5.554430247
30D,4,25,down,37,High,70,2.764245164,0.047707168,0.000859554,-27.75110729
31D,6,25,down,37,High,105,2.267158422,0.106780044,-0.000153779,347.1877739
32D,6,25,down,37,High,140,2.973677189,0.056323822,0.000663747,-42.42866428
33D,6,25,down,37,High,210,1.94704157,0.139537707,-0.000908476,76.79767602
34D,3,25,down,37,High,280,2.76204874,0.066283677,0.000184469,-179.6604341
35D,6,25,down,37,High,350,1.479302018,0.1686637,-0.00135256,62.34980911
36D,6,25,down,37,High,630,0.652578808,0.209437817,-0.00172238,60.79895605
37D,6,48,top,23,Low,0,-0.295038924,0.285796065,-0.003552787,40.22138941
38D,6,48,top,23,Low,35,0.641197177,0.239387989,-0.00274365,43.62582504
39D,4,48,top,23,Low,70,0.981969378,0.233822684,-0.002664855,43.87156508
3D,5,25,top,37,High,70,4.3644198,-0.059086047,0.002963425,9.969214291
40D,6,48,top,23,Low,105,2.108435186,0.155139917,-0.001586715,48.88713792
41D,6,48,top,23,Low,140,2.497681704,0.108363255,-0.000768144,70.53577076
42D,6,48,top,23,Low,210,1.104353649,0.169671995,-0.00179638,47.22608269
43D,3,48,top,23,Low,280,0.952008598,0.209305102,-0.002527585,41.40416145
44D,6,48,top,23,Low,350,0.532350559,0.24744443,-0.003012416,41.07075485
45D,6,48,top,23,Low,630,1.978503116,0.142466743,-0.001371111,51.95301429
46D,6,48,top,23,Low,0,-0.624342251,0.312981722,-0.004013738,38.98880687
47D,5,48,top,23,Low,35,0.893956368,0.203699117,-0.002097875,48.54892351
49D,6,48,top,23,Low,105,2.391139171,0.134629864,-0.001061308,63.42639077
4D,5,25,top,37,High,105,1.689443306,0.127095719,-0.000562766,112.9206048
50D,6,48,top,23,Low,140,2.173953337,0.156516955,-0.001624404,48.17673855
51D,6,48,top,23,Low,210,3.816853784,0.06019767,-0.000126147,238.600507
52D,6,48,top,23,Low,280,2.641665289,0.110947982,-0.000626288,88.57591291
